,adopted_user
9292,N
974,N
5973,N
11817,N
235,N
8978,N
1856,N
1396,N
6926,N
3632,N
1234,Y
6087,N
11366,N
8295,N
4292,N
3697,N
6618,N
7961,N
9421,N
5609,N
7929,N
7241,Y
412,N
11633,N
9480,Y
4817,N
3298,N
10214,N
10744,Y
5179,Y
3008,N
1950,N
2536,N
11315,N
4461,N
5488,N
2087,N
837,N
10438,N
10620,Y
1629,N
2710,N
5555,N
11801,N
2613,N
2153,N
9308,N
10154,N
9004,N
3435,Y
11716,N
51,N
2349,N
7826,Y
7706,Y
8606,N
10101,Y
1378,Y
5115,N
1675,N
7028,Y
6005,N
147,N
8272,N
6051,N
7006,N
1555,N
4457,N
3922,N
1769,Y
7432,N
6036,N
9570,Y
7878,N
5940,N
3641,Y
3680,N
3558,N
11068,N
3557,N
11529,Y
5228,N
6124,N
9569,N
8327,N
2822,N
1803,N
11403,Y
11829,N
7594,N
898,N
8047,Y
6799,N
9063,N
129,N
1502,N
6971,N
8885,N
5553,N
10295,N
11034,N
7380,N
7994,N
8905,N
4402,Y
3992,N
5848,N
5378,N
8515,N
1017,Y
11610,N
6923,Y
7641,N
3852,N
987,N
9162,N
2942,N
5676,Y
168,N
3337,Y
5554,N
11908,Y
10056,N
2679,N
1103,N
8871,N
8491,N
3027,Y
4868,Y
3869,N
6690,N
527,N
7948,N
4245,N
8649,N
10275,N
8378,N
5619,Y
9818,N
10676,N
4,N
1902,N
11939,N
5448,N
2196,N
10230,N
8314,N
4882,N
10618,Y
7662,N
6659,N
8786,N
10166,Y
3071,N
11000,N
8001,N
9729,N
10036,N
1535,N
9836,N
4433,N
5674,N
11127,N
10124,N
8568,Y
3161,N
295,N
4962,N
8983,N
1342,Y
1908,N
10501,N
10541,N
9339,N
9030,Y
2255,N
3057,N
5542,N
1392,N
1070,N
7709,N
5208,N
9620,N
11060,Y
5296,Y
11171,N
3746,N
1355,N
9811,N
8570,Y
1485,N
1079,N
7437,N
9821,N
11500,N
11002,Y
1323,N
4970,N
3178,Y
6806,N
4289,N
11160,N
7422,N
9089,N
7815,N
8571,N
8456,N
4222,Y
9941,Y
5083,N
11985,N
684,N
8157,N
2439,N
6122,N
1939,N
3780,N
975,N
7935,N
8693,N
578,N
11082,Y
4587,N
4736,N
6619,N
6147,Y
5780,N
5022,N
3359,Y
1862,N
4241,N
6398,N
4334,Y
3153,N
2151,N
10037,N
6499,N
11752,N
11812,N
6338,N
3478,N
7881,Y
8555,N
6478,N
2893,N
6419,N
4609,N
805,N
4806,N
9479,N
9966,N
9389,Y
776,N
2837,N
9371,N
1488,N
3709,N
2882,N
9797,N
6612,N
8166,N
9554,N
4885,Y
5164,N
771,Y
4920,Y
3701,N
5954,N
9675,N
6369,Y
3175,N
2976,N
11273,N
2622,N
6379,N
2456,N
7376,N
3013,Y
5339,N
3429,N
8171,N
6519,N
1343,N
11227,N
2981,N
2734,N
11325,N
1598,N
2509,N
7740,N
3698,N
11496,N
9481,N
927,Y
5972,N
2300,N
9971,Y
5713,Y
6133,Y
8455,N
3715,N
9866,N
4365,N
7492,Y
10625,Y
8747,N
1850,N
6928,N
3085,N
9070,N
2841,N
9015,N
11779,N
9899,N
6952,N
5731,N
1075,N
1162,Y
5231,N
10830,N
3160,N
698,N
9369,N
500,N
7276,N
3410,Y
11429,N
1581,N
9681,N
10831,Y
10920,N
8860,N
5669,N
4086,N
11659,Y
4502,N
10010,Y
11021,N
8132,N
5302,N
8765,N
10526,N
4854,N
11217,N
11390,N
8966,N
9717,N
8800,N
5603,N
6697,N
1039,N
9184,N
2762,N
438,N
5932,N
921,N
11986,N
6264,N
6,N
9056,N
5967,N
9067,N
200,N
9801,N
7940,N
1015,N
1283,N
7066,N
3301,N
1612,N
11802,N
504,N
9037,N
5744,N
2142,N
9397,N
324,N
8225,N
5368,Y
8604,N
9395,N
8480,N
11719,N
5101,N
712,N
9795,N
9796,N
2620,N
10378,N
7494,N
3917,N
274,Y
3372,N
10940,N
6960,N
600,Y
6316,N
473,N
2843,N
609,N
5889,N
10679,N
7980,N
3377,Y
3188,N
11658,N
11694,N
779,N
3353,N
7840,N
2270,Y
656,N
5836,N
722,N
10640,N
36,N
5087,N
9442,N
11216,N
6475,N
5735,N
11262,Y
10222,N
11472,N
11961,N
1987,N
4678,N
869,N
9084,N
5797,N
8381,N
2662,N
3369,Y
2539,N
11418,N
328,N
9690,Y
2116,N
4590,N
260,N
6866,N
7029,N
11699,N
9658,N
11634,N
7825,N
10450,N
10119,N
10146,N
9951,N
5589,N
11981,N
11319,Y
6773,N
5742,Y
8826,Y
4276,N
5659,N
11148,N
2652,N
19,Y
2566,N
8906,N
30,N
756,N
6966,N
10485,N
7512,N
11533,N
5294,N
1221,Y
10931,N
11893,N
11911,N
11185,Y
7117,N
5229,N
11598,Y
7766,N
4309,N
6629,N
3227,N
5853,N
5202,N
1152,N
5846,Y
6999,N
6837,N
10921,N
5953,N
9392,N
8772,N
9290,N
3990,N
1766,N
4713,N
8367,N
7615,N
6203,Y
